Month,Temperature_Max,Temperature_Min,Temperature_Mean,Rainfall,Relative_Humidity,Wind_Speed
1/31/2012,31.1,22.2,26.6,41.20,81,1
2/29/2012,31.3,22.1,26.7,128.60,78,1
3/31/2012,31.8,22.9,27.4,195.50,75,1
4/30/2012,34.8,23.9,29.4,2.00,70,1
5/31/2012,33.9,25.1,29.5,327.70,80,1
6/30/2012,32,25,28.5,313.20,82,1
7/31/2012,31.4,24.3,27.8,886.40,86,1
8/31/2012,30.1,24.4,27.3,1387.20,87,1
9/30/2012,31.2,24.6,27.9,736.10,86,1
10/31/2012,31.7,23.3,27.6,339.10,78,1
11/30/2012,32.8,22.9,27.9,26.70,76,1
12/31/2012,31.9,22.9,27.5,48.00,76,1
1/31/2013,30.3,21.6,26,47.00,76,1
2/28/2013,32,22.3,27.2,89.00,72,1
3/31/2013,32.7,22.9,27.8,132.10,75,1
4/30/2013,35.1,24.6,29.9,47.50,70,1
5/31/2013,34.4,25.2,29.8,169.90,76,1
6/30/2013,33.3,25,29.2,552.80,83,1
7/31/2013,32.4,24.5,28.5,222.00,84,1
8/31/2013,30.7,24.4,27.6,972.40,88,1
9/30/2013,30.9,24.4,27.7,684.20,89,1
10/31/2013,31.1,23.4,27.2,356.70,84,1
11/30/2013,31.4,23.3,27.4,89.80,83,1
12/31/2013,31,22.9,27,116.20,82,1
1/31/2014,29.5,19.8,24.6,0.00,74,1
2/28/2014,30.8,20.7,25.7,0.80,74,1
3/31/2014,32.5,22.1,27.3,21.60,70,1
4/30/2014,34.2,24,29.1,22.60,69,1
5/31/2014,35.4,25.2,30.3,107.20,70,1
6/30/2014,33,25.6,29.3,242.90,81,1
7/31/2014,31.4,24.8,28.1,478.00,86,1
8/31/2014,31.4,24.2,27.8,412.10,86,1
9/30/2014,31.6,24.2,27.9,727.20,85,1
10/31/2014,31.9,23.7,27.8,405.30,84,1
11/30/2014,31.8,23,27.4,94.60,80,1
12/31/2014,30.4,22.9,26.6,154.50,82,1
1/31/2015,29.4,20.4,24.9,29.00,77,1
2/28/2015,31,20.6,25.8,2.70,71,1
3/31/2015,32.2,21.6,26.9,6.60,64,1
4/30/2015,34.3,24.4,29.3,64.80,62,1
5/31/2015,34.6,25.3,29.9,74.60,67,1
6/30/2015,34.3,25.1,29.7,329.50,72,1
7/31/2015,31.8,24.4,28.1,628.60,80,1
8/31/2015,32.2,24.8,28.5,459.30,80,1
9/30/2015,32.6,24.7,28.6,471.90,81,2
10/31/2015,32,24.3,28.1,223.60,78,2
11/30/2015,33.2,23.7,28.5,16.20,71,1
12/31/2015,31.2,22.6,26.9,295.80,74,1
1/31/2016,31.6,22.7,27.2,4.40,70,1
2/29/2016,31.2,22.2,26.7,8.30,67,1
3/31/2016,33.2,23.8,28.5,2.80,64,1
4/30/2016,35.5,25.1,30.3,43.40,59,1
5/31/2016,34.9,25.8,30.3,180.20,66,1
6/30/2016,33.6,25.5,29.6,175.10,76,1
7/31/2016,32.7,24.8,28.8,296.10,78,1
8/31/2016,30.9,25.7,28.3,780.20,83,1
9/30/2016,31.6,25.2,28.4,495.30,80,1
10/31/2016,31.9,24.9,28.4,305.80,78,1
11/30/2016,31.8,23.9,27.8,100.10,75,1
12/31/2016,31.2,23.8,27.5,126.30,75,1
1/31/2017,30.3,22.2,26.2,43.90,73,1
2/28/2017,30.4,21.9,26.1,73.80,70,1
3/31/2017,32.5,22.7,27.6,7.00,64,1
4/30/2017,34,24.6,29.3,128.20,66,1
5/31/2017,34.4,25.6,30,297.50,69,1
6/30/2017,33.8,25.4,29.6,343.90,75,1
7/31/2017,32,25.2,28.6,560.40,79,1
8/31/2017,32.4,25.2,28.8,450.40,80,1
9/30/2017,32.3,25.2,28.8,409.60,79,1
10/31/2017,31.3,24.7,28,283.00,80,1
11/30/2017,31.8,24.1,27.9,157.50,78,1
12/31/2017,30.4,23.4,26.9,98.50,78,1
1/31/2018,30.5,22.8,26.6,85.40,74,1
2/28/2018,31.5,22.7,27.1,2.00,68,1
3/31/2018,32.2,23.1,27.6,19.70,65,1
4/30/2018,33.4,24.2,28.8,114.80,64,1
5/31/2018,34.5,25.2,29.9,87.00,67,1
6/30/2018,31.4,24.9,28.1,786.80,79,1
7/31/2018,30.3,25,27.7,768.40,83,2
8/31/2018,30.5,25.3,27.9,718.90,81,2
9/30/2018,31.6,24.6,28.1,634.30,79,1
10/31/2018,32.4,24.2,28.3,181.50,73,1
11/30/2018,32.2,23.7,27.9,6.50,70,1
12/31/2018,30.7,23.2,26.9,166.10,77,1
1/31/2019,30.6,22.1,26.3,4.60,70,2
2/28/2019,31.5,20.9,26.2,5.10,64,1
3/31/2019,33,23,28,2.80,59,1
4/30/2019,34.8,25.6,30.2,0.40,58,1
5/31/2019,33.9,26,30,253.90,72,1
6/30/2019,33.9,26.1,30,435.30,72,1
7/31/2019,32,25.2,28.6,347.70,78,1
8/31/2019,30.4,25.7,28.1,520.70,82,2
9/30/2019,30.9,25.2,28,363.20,80,1
10/31/2019,32.3,24.2,28.3,185.80,75,1
11/30/2019,31.5,24.3,27.9,128.00,77,1
12/31/2019,31.7,23.3,27.5,124.90,73,1
1/31/2020,30.9,22.3,26.6,9.40,73,1
2/29/2020,30.7,21.9,26.3,64.30,68,1
3/31/2020,33.4,23.8,28.6,0.80,62,1
4/30/2020,34.2,24.8,29.5,40.90,62,1
5/31/2020,34.8,26.4,30.6,199.10,68,1
6/30/2020,33.6,25.5,29.6,212.90,72,1
7/31/2020,32.9,25.2,29,359.60,76,1
8/31/2020,31.8,25.1,28.4,352.90,80,1
9/30/2020,32.7,25,28.9,319.80,78,1
10/31/2020,30.9,24.8,27.9,429.40,83,1
11/30/2020,30.9,24,27.5,302.00,80,1
12/31/2020,30.4,24.1,27.2,186.10,81,1
1/31/2021,29.5,23,26.3,179.60,76,1
2/28/2021,30.7,22.9,26.8,26.60,73,1
3/31/2021,32.5,23.8,28.2,79.60,69,1
4/30/2021,32.9,24.5,28.7,59.10,66,1
5/31/2021,35.1,26,30.6,16.70,64,1
6/30/2021,32.5,25.8,29.2,226.70,77,1
7/31/2021,30.8,25.2,28,823.70,84,1
8/31/2021,31.7,25.3,28.5,251.10,81,1
9/30/2021,31.5,25,28.3,400.10,82,1
10/31/2021,31.3,24.7,28,118.20,81,1
11/30/2021,32.1,24.6,28.4,54.90,75,1
12/31/2021,30.4,22.7,26.6,98.60,73,1